,Expected Annual Damage,Expected Number of Deaths,A.5_Expected Number of Deaths,A.5_Expected Annual Damage,Expected Evacuation Costs
11362,18089422.66530544,0.005872161957984395,0.0,0.0,467.25921420697557
11363,2534547.8593549915,0.000611504312153148,0.0,0.0,75.28302057661136
11364,18089422.66530544,0.005872161957984395,0.0,0.0,467.25921420697557
11365,37155564.653956816,0.008950473488943497,0.0,0.0,1138.5375373792813
11366,381627291.2537045,0.1142641571068851,0.1083919951489007,363537868.58839905,12326.628291777555
11367,18089422.66530544,0.005872161957984395,0.0,0.0,467.25921420697557
11368,13361007.461087612,0.0031495892493572193,0.0017529022764014683,5496754.895076065,424.7619189659054
11369,13605994.336911382,0.00321583681313693,0.0017326539228336652,5437983.211052871,428.7178119414004
11370,13361007.461087612,0.0031495892493572193,0.0017529022764014683,5496754.895076065,424.7619189659054
11371,14254912.429825593,0.003457965466608901,0.0017529022764014683,5496754.895076065,447.6117874822342
11372,18718224.21903004,0.006559416909308918,0.0017529022764014683,5496754.895076065,536.4538507701709
11373,20529595.71271315,0.006561252282382852,0.006508822827838525,20262464.3167557,609.2653777269323
11374,7864252.566011547,0.0013966869729557508,0.0,0.0,260.7069529730688
11375,6323942.629806502,0.003740777125953603,0.0,0.0,135.59888382236466
11376,9358013.350417567,0.0048610483883694865,0.0,0.0,212.7107745575895
11377,6452337.45126955,0.0038605870339710143,0.0,0.0,139.08204253865736
11378,4309696.003356951,0.001347432005374612,0.00018448029781481515,567713.7949810802,116.07586936381152
11379,16904658.915582336,0.006217992161767497,0.0,0.0,460.64197245045335
11380,45280369.9057696,0.016323187368398717,0.01146213898002923,35922356.55535203,1284.3336142368983
11381,9358013.350417567,0.0048610483883694865,0.0,0.0,212.7107745575895
11382,9829821.179096937,0.003283821703414499,0.0,0.0,251.67058683268502
11383,9531029.995221023,0.003185831515431437,0.0,0.0,243.83647339769283
11384,9829821.179096937,0.003283821703414499,0.0,0.0,251.67058683268502
11385,22394301.83489338,0.007075681108396637,0.006839478181717938,21222205.162533842,662.7765764627045
11386,9829821.179096937,0.003283821703414499,0.0,0.0,251.67058683268502
11387,30404876.062172376,0.006720913000074621,0.0,0.0,961.6895432040624
11388,97050325.3150307,0.03076095297335948,0.02747713126994498,87220504.13593376,2890.3453899876768
11389,27301665.76860519,0.00548110585804919,0.0018460064973760614,5987816.679402824,910.7803456480901
11390,26456217.70916922,0.005238856758693405,0.0017553116511732614,5688625.540697229,890.5902414907254
11391,35561258.48283606,0.008303205597297277,0.0017553116511732614,5688625.540697229,1126.7143875364593
11392,26456217.70916922,0.005238856758693405,0.0017553116511732614,5688625.540697229,890.5902414907254
11393,79240006.46580109,0.024955754816839208,0.02477378358584981,78316236.0172666,2389.2646882719987
11394,20767592.168471992,0.003483545107520144,0.0,0.0,714.4431180001316
11395,26456217.70916922,0.005238856758693405,0.0017553116511732614,5688625.540697229,890.5902414907254
11396,3550585.028037896,0.0006719887586489894,0.0,0.0,111.91962888090521
11397,3839582.49219695,0.0007388278511931447,0.0,0.0,119.31874523368242
11398,3550585.028037896,0.0006719887586489894,0.0,0.0,111.91962888090521
11399,3550585.028037896,0.0006719887586489894,0.0,0.0,111.91962888090521
11400,36656632.28330594,0.022962406350491342,0.0,0.0,769.7504392616329
11401,928290.1667051808,0.00018337226720521133,0.0,0.0,28.17884474277653
11402,3550585.028037896,0.0006719887586489894,0.0,0.0,111.91962888090521
11403,36421304.23229772,0.022921119522653,0.0,0.0,761.8745110424188
11404,54649305.69014125,0.03426894935127046,0.0,0.0,1146.1904451853263
11405,54416448.98848069,0.034187643653634775,0.0,0.0,1140.3164937898462
11406,1395269.8443088583,0.0003145068938281005,0.0,0.0,40.65534291181949
11407,54991846.79694449,0.034337123014630155,0.0,0.0,1156.5168160962983
11408,54649305.69014125,0.03426894935127046,0.0,0.0,1146.1904451853263
11409,54649305.69014125,0.03426894935127046,0.0,0.0,1146.1904451853263
11410,129080705.7362051,0.020042859634289503,0.0,0.0,4675.931747426097
11411,129321687.00897227,0.02007682972601798,0.0,0.0,4683.422663633866
11412,129080705.7362051,0.020042859634289503,0.0,0.0,4675.931747426097
11413,129026209.67427361,0.02002887474542317,0.0,0.0,4674.691310708222
11414,129080705.7362051,0.020042859634289503,0.0,0.0,4675.931747426097
11415,155537900.87886348,0.047352130771842825,0.042613568536943064,137526535.07651797,4772.58272014165
11416,129080705.7362051,0.020042859634289503,0.0,0.0,4675.931747426097
11417,46892675.667034,0.013848672706945706,0.009144063832315278,29064218.535394985,1395.0976707845077
11418,39443743.02425659,0.011523859637508356,0.006893330788417602,21958772.65095451,1170.6885521890283
11419,44355457.30829057,0.013008697157458705,0.00827255428037276,26284002.091463715,1319.030151727324
11420,39443743.02425659,0.011523859637508356,0.006893330788417602,21958772.65095451,1170.6885521890283
11421,129179568.35079081,0.0200407849124247,0.0,0.0,4680.121942907002
11422,159705994.8660491,0.04872248847317964,0.044091959624088885,142221024.49274704,4897.758593345943
11423,39443743.02425659,0.011523859637508356,0.006893330788417602,21958772.65095451,1170.6885521890283
11424,20060309.007419653,0.005269425053036941,0.0038812175861444352,12226847.873347526,626.3963687250039
11425,26419477.139730323,0.0063140402705526575,0.0036449759345514345,11541146.704901975,836.4506050016746
11426,20060309.007419653,0.005269425053036941,0.0038812175861444352,12226847.873347526,626.3963687250039
11427,22961636.47144147,0.0062679617257164685,0.0038812175861444352,12226847.873347526,699.9559710020073
11428,20060309.007419653,0.005269425053036941,0.0038812175861444352,12226847.873347526,626.3963687250039
11429,31184435.15096382,0.005029324827291479,0.0,0.0,1097.57574721387
11430,20060309.007419653,0.005269425053036941,0.0038812175861444352,12226847.873347526,626.3963687250039
11431,34085762.61498564,0.006027861499971006,0.0,0.0,1171.1353494908735
11432,43886084.55074576,0.0077051065523596725,0.0,0.0,1503.9868577580505
11433,41070708.56981337,0.0067264582855597835,0.0,0.0,1431.6045885788924
11434,43886084.55074576,0.0077051065523596725,0.0,0.0,1503.9868577580505
11435,29234853.12066272,0.007292688537352547,0.0036449759345514345,11541146.704901975,908.8328741808327
11436,43886084.55074576,0.0077051065523596725,0.0,0.0,1503.9868577580505
11437,43886084.55074576,0.0077051065523596725,0.0,0.0,1503.9868577580505
11438,11894507.002916636,0.0038451196591390673,0.0035328022310045634,10984964.346746273,348.6283879345576
11439,24004947.100508038,0.007812059413813787,0.006804480595514259,21088371.1229769,697.0932741410176
11440,11894507.002916636,0.0038451196591390673,0.0035328022310045634,10984964.346746273,348.6283879345576
11441,11089079.867187584,0.0035686727000038784,0.0035686727000038784,11089079.867187584,328.4624369947227
11442,11894507.002916636,0.0038451196591390673,0.0035328022310045634,10984964.346746273,348.6283879345576
11443,12495809.254885342,0.003927565980250239,0.0034610222785368032,10776620.06475274,368.2038609943692
11444,7421180.4063789975,0.002414872895901324,0.00210255546776682,6511637.750208635,215.40503192194188
11445,2870597.2462545233,0.0008200474374198517,0.0006658211638409204,2060950.7122922852,86.22941773420214
11446,9032486.656719308,0.0025888136888865924,0.002064537277477972,6369036.282314458,268.61812865479953
11447,11901783.479954675,0.003581736768726373,0.002064537277477972,6369036.282314458,341.75771340982584
11448,9032486.656719308,0.0025888136888865924,0.002064537277477972,6369036.282314458,268.61812865479953
11449,13216321.291047128,0.004261163650621033,0.004201607541407199,12926199.43257169,388.14950895891025
11450,23307096.271699645,0.007175537752450291,0.006651261341041671,20643645.897294793,691.9859229664412
11451,9032486.656719308,0.0025888136888865924,0.002064537277477972,6369036.282314458,268.61812865479953
11452,223025937.5402569,0.06707459390026983,0.0,0.0,5999.771025877129
11453,196243366.805987,0.0589180362128011,0.0,0.0,5273.38768016451
11454,223025937.5402569,0.06707459390026983,0.0,0.0,5999.771025877129
11455,10664694.093118241,0.005689079833126258,0.0,0.0,239.55461640126026
11456,221300719.904292,0.06596903658785405,0.0,0.0,5964.365316255794
11457,314606597.16665745,0.07952896123266742,0.0,0.0,9429.794688052369
11458,223025937.5402569,0.06707459390026983,0.0,0.0,5999.771025877129
11459,112888880.51798733,0.016762284708502256,0.0,0.0,4125.510904110808
11460,98580423.67851715,0.014643631661380174,0.0,0.0,3605.414294565972
11461,276746135.2135335,0.06968591404515037,0.0,0.0,8294.15464450878
11462,104458255.60668568,0.018385444633909127,0.0,0.0,3726.901803036443
11463,23120317.3700191,0.007452754736097839,0.006401586276902885,19951205.79066259,674.1603390550372
11464,98580423.67851715,0.014643631661380174,0.0,0.0,3605.414294565972
11465,98580423.67851715,0.014643631661380174,0.0,0.0,3605.414294565972
11466,55438833.57381154,0.016436863710176726,0.015160377223257599,48332466.50844077,1699.5088033757897
11467,56732901.289034605,0.01673624268790342,0.015279920122184147,48651915.57699072,1738.0968758404176
11468,55438833.57381154,0.016436863710176726,0.015160377223257599,48332466.50844077,1699.5088033757897
11469,55438833.57381154,0.016436863710176726,0.015160377223257599,48332466.50844077,1699.5088033757897
11470,55438833.57381154,0.016436863710176726,0.015160377223257599,48332466.50844077,1699.5088033757897
11471,55477937.87971773,0.017028736765766272,0.016376299268365993,51990424.876320116,1682.196678435411
11472,17373095.601169202,0.004549092461526023,0.0032726059746068952,10266728.535798432,540.1400811410164
11473,18347033.1928683,0.005396449013593092,0.004744011516192812,14859520.189470688,554.0855744238426
11474,13588404.77683071,0.003890659489570983,0.0032282948161580245,10068866.878357777,410.64263349654925
11475,13588404.77683071,0.003890659489570983,0.0032282948161580245,10068866.878357777,410.64263349654925
11476,13588404.77683071,0.003890659489570983,0.0032282948161580245,10068866.878357777,410.64263349654925
11477,12356971.175732538,0.002818580243774087,0.0013622576780548158,4275985.463688656,392.7433478357404
11478,56288897.34622195,0.017316422729371617,0.016654058055958657,52769359.44774902,1702.5990774912482
11479,13588404.77683071,0.003890659489570983,0.0032282948161580245,10068866.878357777,410.64263349654925
11480,60879148.07964504,0.011446385975547752,0.0,0.0,2055.7795221835895
11481,46609423.38950518,0.008373736304555292,0.0,0.0,1596.2904294684145
11482,60879148.07964504,0.011446385975547752,0.0,0.0,2055.7795221835895
11483,51476497.13239918,0.008253056140690468,0.0,0.0,1814.4685334165454
11484,60879148.07964504,0.011446385975547752,0.0,0.0,2055.7795221835895
11485,29103585.347593643,0.009502706864384675,0.006255673991705394,19527689.34563345,824.4578998247647
11486,60879148.07964504,0.011446385975547752,0.0,0.0,2055.7795221835895
