,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Expected Number of Deaths
68,3099098504.375755,1.9722638106306607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9722638106306607
69,43536880.027325906,0.02700580123281658,621432089.9864343,0.46826896915805827,1036745747.249023,1.4939838632947935,0.0,0.0,0.0,0.0,0.0,0.0,1.9892586336856684
70,2975277684.385172,1.9635332569747828,0.0,0.0,0.0,0.0,5474343.883197786,0.002205262788636736,0.0,0.0,0.0,0.0,1.9657385197634194
71,0.0,0.0,55590884.82700067,0.0523450288659047,128756636.4617261,0.2260264121878544,123059237.5393662,0.052756011585487386,38371159.14004881,0.032895610533388533,0.0,0.0,0.364023063172635
72,205154936.04478428,0.19884490628502702,0.0,0.0,165054077.5818414,0.40459995731218257,0.0,0.0,0.0,0.0,0.0,0.0,0.6034448635972096
73,2624191007.069608,1.912288920418999,8240275.848078646,0.008251158950050089,1203110653.1113133,2.1899240699680442,0.0,0.0,0.0,0.0,0.0,0.0,4.110464149337093
74,0.0,0.0,8961716.414320014,0.010686840229309064,16845824.87153441,0.03712967810227452,10361769.363211704,0.0067909015749696225,273967050.78287315,0.2942646139700816,0.0,0.0,0.3488720338766348
75,3427382949.581382,1.9190211019262835,0.0,0.0,22856371.81098,0.03584682262795719,0.0,0.0,244641593.8502834,0.18754382822617732,0.0,0.0,2.142411752780418
76,0.0,0.0,122133256.87101299,0.12484582250805604,384233589.01989174,0.7388844595770802,0.0,0.0,666407011.6677248,0.6348174874731493,0.0,0.0,1.4985477695582854
77,2736019087.993287,1.7985173256482112,0.0,0.0,72805177.98496464,0.12558569544663592,8001531.597692076,0.0034115919380585773,0.0,0.0,0.0,0.0,1.9275146130329057
78,106927697.25652444,0.09502906731844937,69845260.70895523,0.08188129538101582,638659383.3903173,1.3929520226783465,2690140.578452911,0.0015493196533786517,0.0,0.0,0.0,0.0,1.5714117050311904
79,2466366734.2836637,1.969684491949712,8035478.193668619,0.009076289630246554,0.0,0.0,0.0,0.0,15334966.283608802,0.01697364277414007,0.0,0.0,1.9957344243540986
80,42990325.457619525,0.027494603074023904,458230323.9676038,0.3607069578526927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3882015609267166
81,77105472.48960604,0.06538053130076871,112177946.65408893,0.12368441943091679,215211953.29911703,0.4508594806682057,106867569.44034936,0.054493184369243566,0.0,0.0,0.0,0.0,0.6944176157691347
82,0.0,0.0,974644569.1386476,0.8776040716973099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8776040716973099
83,3191483864.1267123,1.9688765044780376,198525797.32547075,0.1592685404362085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.128145044914246
84,2359661494.6478834,1.9485216608508595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9485216608508595
85,0.0,0.0,117773086.66978432,0.11042830137942139,556100546.7857273,0.977197065595282,32341488.393745948,0.014804287827337326,0.0,0.0,0.0,0.0,1.1024296548020407
86,2172735726.5404835,1.9726099723904071,120275971.58837306,0.14776177621313624,0.0,0.0,32272938.374994557,0.01844694898139463,0.0,0.0,0.0,0.0,2.138818697584938
87,2847061117.943924,1.93625576625228,934405582.7483298,0.8011884625188885,115518315.8796967,0.19635530597484113,0.0,0.0,0.0,0.0,0.0,0.0,2.9337995347460093
88,1392033790.4962578,0.8066030330717981,40100894.075331144,0.03058249391858024,0.0,0.0,29194033.93690709,0.010937905440487334,0.0,0.0,0.0,0.0,0.8481234324308657
89,0.0,0.0,7087669.938099271,0.01046397643604556,34768996.75290458,0.09439339478429587,87043938.8569702,0.05643299401097144,0.0,0.0,0.0,0.0,0.16129036523131288
90,2676879192.2848086,1.9608243306634006,0.0,0.0,39939549.2842128,0.07504148374195999,0.0,0.0,0.0,0.0,0.0,0.0,2.0358658144053607
91,33478343.801850982,0.026460617017557996,714725756.9049004,0.67087673736494,0.0,0.0,1607157.493998636,0.0007663043817656598,0.0,0.0,0.0,0.0,0.6981036587642636
92,78659698.86254016,0.06693902190230484,22532169.216212075,0.025792929727303772,68044285.0419639,0.14664609363841546,0.0,0.0,204741235.4176183,0.22021057858780804,0.0,0.0,0.4595886238558321
93,3305659366.8654337,1.93625576625228,97705659.42234105,0.08099973973503327,105751757.75438291,0.1670844761417804,0.0,0.0,411922830.62448794,0.3232494261970439,0.0,0.0,2.507589408326137
94,44095858.23458394,0.027410782095930758,12209663.369090466,0.010375890727036634,1269135934.3840203,1.8752934792287705,0.0,0.0,0.0,0.0,0.0,0.0,1.913080152051738
95,195394911.2283972,0.12088522524919783,0.0,0.0,22056969.438991137,0.03536379571363395,0.0,0.0,0.0,0.0,0.0,0.0,0.15624902096283177
96,0.0,0.0,7607164.035258809,0.010464990376550614,37355470.617341794,0.09457357831730714,49522955.537890494,0.03210098023188973,144589849.852266,0.1766156877282699,0.0,0.0,0.3137552366540174
97,313619132.8417523,0.1928697289320194,1160221031.0359328,0.8662290256938503,151864598.58464718,0.22812071825410926,0.0,0.0,0.0,0.0,0.0,0.0,1.2872194728799788
98,1655917633.126666,1.5105117471047051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5105117471047051
99,42990920.84800581,0.027495046689285728,770555946.2698958,0.5900738964125991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6175689431018848
100,95539166.99618539,0.06392688869656697,188953267.29266697,0.1630561827075538,0.0,0.0,100530646.81427604,0.0413373886431216,0.0,0.0,0.0,0.0,0.26832046004724236
101,2465485738.479664,1.9083833404465684,0.0,0.0,766034066.8474432,1.495622790926839,73794702.55416891,0.023731030433623464,0.0,0.0,0.0,0.0,3.4277371618070305
102,2618857306.364392,1.9166539534127698,0.0,0.0,506100069.5122996,0.9205101348092453,0.0,0.0,0.0,0.0,0.0,0.0,2.837164088222015
103,670729432.5490975,0.5764753103619896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5764753103619896
104,391659260.9370905,0.3733607037889633,434830757.564705,0.5254882182677254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8988489220566886
105,0.0,0.0,10187839.792069675,0.010603777994231916,124625563.11239403,0.23472662597275795,0.0,0.0,449694955.99114823,0.41775391897579933,0.0,0.0,0.6630843229427892
106,0.0,0.0,33360386.013326958,0.026254175980760824,83317104.95635104,0.12272965800910715,114597901.52721876,0.042479011274634666,0.0,0.0,0.0,0.0,0.19146284526450263
107,0.0,0.0,222602816.34545904,0.166759750228834,2663355807.558983,3.619622249888266,0.0,0.0,0.0,0.0,0.0,0.0,3.7863820001171002
108,40753173.86175085,0.027823514426881468,431258662.3050432,0.36228642576337106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3901099401902525
109,3003903453.2285824,1.9367366075983257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9367366075983257
110,1762465221.060888,1.2378543326261386,0.0,0.0,0.0,0.0,77448623.48347215,0.03076760400420999,0.0,0.0,0.0,0.0,1.2686219366303486
111,3330887104.049901,1.9548892036725771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9548892036725771
112,0.0,0.0,54062216.87156775,0.05158947512370474,0.0,0.0,89183267.33283006,0.04035050463148994,1111551280.6573539,0.9288171533398761,0.0,0.0,1.0207571330950709
113,2895276959.187935,1.977612052003404,0.0,0.0,0.0,0.0,2633173.2356373547,0.001437714414011964,0.0,0.0,0.0,0.0,1.9790497664174158
114,0.0,0.0,27363253.203453213,0.02621580887883261,106221799.32924858,0.18857606184622094,14258462.593055833,0.0070705782492549146,0.0,0.0,0.0,0.0,0.22186244897430848
115,2617924975.401027,1.915791810769321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.915791810769321
116,2314238189.403215,1.9653796447787462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9653796447787462
117,0.0,0.0,203264343.0933075,0.16554313033853507,0.0,0.0,7329014.690752148,0.002970502767167792,0.0,0.0,0.0,0.0,0.16851363310570286
118,570869969.690498,0.5777254316504332,43565901.728445426,0.05955202064891037,1444139100.3580546,3.589536197506475,59466224.06057416,0.024387299230516128,0.0,0.0,0.0,0.0,4.251200949036335
119,0.0,0.0,33432542.46144351,0.03434694876109214,770620459.1294447,1.421420691657999,0.0,0.0,0.0,0.0,0.0,0.0,1.4557676404190911
