,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Total Expected Deaths
94,1617518997.1614587,0.9321979278653096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9321979278653096
95,15911796.951810779,0.01222618301409523,70772114.04245472,0.07047165177563347,104325407.2922334,0.19652360448219103,93361842.53172728,0.04359759911136247,910149415.309921,0.8012426472686329,0.0,0.0,1.124061685651915
96,42404663.834202185,0.030171330119623446,47551737.997972645,0.04493776017385215,575796819.0834479,0.9953733570154899,158161817.89573532,0.06402253809227072,0.0,0.0,0.0,0.0,1.1345049854012363
97,2438957900.8587866,1.6971423452085785,23509267.624709688,0.02158552816239523,0.0,0.0,6244019.736507275,0.0027116393143590623,0.0,0.0,0.0,0.0,1.7214395126853328
98,0.0,0.0,4615868.764058168,0.004617725674816178,56996784.316916525,0.1047406750497831,3428783.000035148,0.0018950598221196785,83829295.64018178,0.07719210601452703,0.0,0.0,0.188445566561246
99,1086429293.1156225,0.7638613498659308,73663525.56808096,0.06831803013858515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.832179380004516
100,1642673110.2505064,1.2973860739319354,0.0,0.0,24573980.979705494,0.050572094483288976,0.0,0.0,0.0,0.0,0.0,0.0,1.3479581684152244
101,172005052.48321038,0.1563105635845326,418262059.78028643,0.4758417350576129,1414056012.7543752,3.0628259381978573,0.0,0.0,0.0,0.0,0.0,0.0,3.6949782368400026
102,0.0,0.0,121806793.87549925,0.13447668109468164,1563622349.7912514,3.1284365142547035,0.0,0.0,0.0,0.0,0.0,0.0,3.2629131953493853
103,49848078.88085112,0.04264604202115496,14130890.35865784,0.016474725311154133,807669825.1237444,1.6608194607386049,0.0,0.0,0.0,0.0,0.0,0.0,1.719940228070914
104,0.0,0.0,11655124.136410423,0.01008532923021097,102092795.77078028,0.1633791184487972,7440744.6044298485,0.0033555197030892166,26451903.987031817,0.02133186628469984,0.0,0.0,0.19815183366679726
105,0.0,0.0,619082885.859609,0.5658416688592295,348784379.9199239,0.6250132612860415,4704403.300317256,0.002147659069761285,0.0,0.0,0.0,0.0,1.1930025892150322
106,112584640.50556183,0.0718809472486996,427906059.4249555,0.34267418184642734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41455512909512693
107,2295592264.2998753,1.682452823797023,0.0,0.0,24337496.43246782,0.04551598943059321,0.0,0.0,0.0,0.0,0.0,0.0,1.7279688132276163
108,0.0,0.0,39222391.76831006,0.0443496790584698,23278430.13112577,0.04987142937337086,120818319.9440487,0.05744751283331659,0.0,0.0,0.0,0.0,0.15166862126515723
109,0.0,0.0,34210633.29190145,0.02945329391245948,1558244606.4474819,2.3540293377314017,0.0,0.0,0.0,0.0,0.0,0.0,2.383482631643861
110,2951230828.850832,1.714424940520915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.714424940520915
111,89375178.39846028,0.07136909903860417,15672145.458889667,0.0170007603845171,0.0,0.0,60201799.91329166,0.03133084598042858,219991964.82088283,0.21695599897586015,0.0,0.0,0.33665670437941
112,14418647.0585346,0.012454100706392189,95464625.39773208,0.10569197725136992,7114517.120429217,0.01513670441079622,0.0,0.0,7768594.581473395,0.00830672270153487,0.0,0.0,0.1415895050700932
113,2968643012.736124,1.727099549810716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.727099549810716
114,2704714975.1146846,1.729892008638517,0.0,0.0,179877401.38961798,0.2974862261048306,2140609.1923122997,0.0009037339000599919,0.0,0.0,0.0,0.0,2.0282819686434075
115,12339864.716107856,0.012410450086434408,33924364.332249634,0.045009855415411235,16504871.424967945,0.04151658032288821,0.0,0.0,51840615.254753426,0.06509444357684054,0.0,0.0,0.1640313294015744
116,14468116.822139928,0.012503706196931884,121531260.71398935,0.13395963689229384,0.0,0.0,19733285.21963308,0.010721254887067778,0.0,0.0,0.0,0.0,0.1571845979762935
117,70909352.90963055,0.05359511771132611,28166646.401245274,0.028789482646886674,54107648.00501449,0.10453671804334214,11992783.186975647,0.006664586992322136,236897081.89316776,0.22625346400326313,0.0,0.0,0.41983936939714017
118,2653073764.5314364,1.7244439115168042,0.0,0.0,1732776526.5731492,2.7507893306876547,0.0,0.0,0.0,0.0,0.0,0.0,4.4752332422044585
119,946564541.2014894,0.7588129628711835,226812304.77341,0.23732510011498198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9961380629861655
120,1836354897.1628704,1.6618741840771216,0.0,0.0,0.0,0.0,0.0,0.0,7673621.885724993,0.008287206675146937,0.0,0.0,1.6701613907522685
121,161584113.29686138,0.10725844005481709,151706967.21975893,0.1311839749529499,1002941089.1249402,1.6174688531081136,56479601.32715768,0.022602923026287535,0.0,0.0,0.0,0.0,1.878514191142168
122,0.0,0.0,354015328.72855,0.3494486544289657,692049863.653683,1.3117983348714184,1543303.8150003632,0.0007719598266491146,0.0,0.0,0.0,0.0,1.6620189491270332
123,2640757296.748937,1.714424940520915,25750311.520769835,0.022200039328549123,246068748.78814775,0.4006835597929206,0.0,0.0,0.0,0.0,0.0,0.0,2.137308539642385
124,0.0,0.0,15733097.306907095,0.01625501777265678,40042299.245386355,0.07746016175872056,123525094.83503015,0.0568102876363111,37095333.46304445,0.03436230311015528,0.0,0.0,0.18488777027784373
125,848539387.696897,0.5676322840377968,4418360.837598257,0.0040772012651991915,0.0,0.0,1116453.0792551304,0.0005382781320638863,295158382.8535306,0.2569279628206648,0.0,0.0,0.8291757262557247
126,1545077074.268385,1.2959606208074466,0.0,0.0,0.0,0.0,776395.5508448749,0.0004469497677214863,0.0,0.0,0.0,0.0,1.296407570575168
127,0.0,0.0,34084399.57046667,0.029244954497243493,2103020169.0891519,3.1274652045602886,0.0,0.0,0.0,0.0,0.0,0.0,3.156710159057532
128,3015192894.104858,1.7003622781847327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7003622781847327
129,96400066.99107972,0.07138416490702885,9748648.831802832,0.009817289403118504,18610221.07580106,0.03523352377819852,106206401.85012749,0.048443208474978565,0.0,0.0,0.0,0.0,0.16487818656332445
130,2335511309.5934267,1.6787997548047469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6787997548047469
131,2151938828.1260204,1.7270733600461734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7270733600461734
132,110533857.63062486,0.10806954665329517,103199102.42068692,0.1312681518351662,0.0,0.0,0.0,0.0,734720522.1982775,0.862773513507394,0.0,0.0,1.1021112119958554
133,2771602913.9256372,1.7162750474668034,0.0,0.0,1868713306.4932919,2.874508116168988,0.0,0.0,0.0,0.0,0.0,0.0,4.590783163635791
134,34950055.553077474,0.026753372369006996,28299828.704031408,0.029053317643031273,54275828.66459068,0.10511692718045211,12248893.154810876,0.006905441466293021,25842428.46776662,0.025308637327159555,0.0,0.0,0.19313769598594294
135,47540362.25582309,0.0432983319738504,52912639.291795865,0.06376523834582437,6859887.081446843,0.01580291578192186,28229998.408189755,0.01691388411886638,125620004.17367887,0.14164481825554823,0.0,0.0,0.2814251884760113
136,3055050007.478238,1.7285700603465206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7285700603465206
137,3240240378.480319,1.729892008638517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.729892008638517
138,0.0,0.0,41919373.1614185,0.044850572269245395,353954625.1537528,0.6962631307167508,16988413.51763203,0.008685431621868436,0.0,0.0,0.0,0.0,0.7497991346078646
139,20000804.198911987,0.012898153573155173,766824099.8079754,0.5927104775013237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6056086310744788
140,15631214.539625429,0.01274588512439584,14981563.867718231,0.01640230200447699,80986880.88476735,0.16474302478927091,147850269.11811927,0.06962690261765793,0.0,0.0,0.0,0.0,0.26351811453580165
141,1408532321.4767663,1.2955932963408343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2955932963408343
142,2442983183.648537,1.7006581987046434,0.0,0.0,0.0,0.0,6163334.711744767,0.0029823482217054657,0.0,0.0,0.0,0.0,1.703640546926349
143,1750671788.1959186,1.7103963494196228,0.0,0.0,162246162.42504045,0.39618296652872936,0.0,0.0,0.0,0.0,0.0,0.0,2.1065793159483523
144,0.0,0.0,121905450.66477938,0.13466066394569576,801551239.489994,1.6397644549923829,0.0,0.0,362050750.69923997,0.37238753954813486,0.0,0.0,2.1468126584862137
145,17502243.651542142,0.01256970327024463,17060603.99896252,0.016555361735455514,193811685.76148024,0.3423419399748623,11699540.892245151,0.005386026376272686,8098155.548593073,0.007241388895326242,0.0,0.0,0.38409442025216134
146,2766108576.965386,1.7120132403060095,103150843.20394808,0.08964669317690198,9082270.295652991,0.015436776608092822,0.0,0.0,0.0,0.0,0.0,0.0,1.8170967100910043
147,247766743.01850185,0.14148593802058929,0.0,0.0,1363809688.7288477,1.9018812980229034,157959463.98524222,0.05033302451356023,0.0,0.0,0.0,0.0,2.093700260557053
148,1887365467.3724627,1.7200662942664562,0.0,0.0,61757309.1046264,0.14949900441091765,0.0,0.0,41323864.675495714,0.05057219454210558,0.0,0.0,1.9201374932194795
149,2452587155.465858,1.6708634275835972,110324542.20433523,0.0953301641097482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7661935916933453
150,809200157.3603983,0.584508745425359,0.0,0.0,446933453.79349744,0.8159756651593217,61259854.22362199,0.028491138785592847,0.0,0.0,0.0,0.0,1.4289755493702736
151,150501984.02932882,0.10686607588158792,16397728.345372405,0.01595875314478222,159673111.69553214,0.28710354071334643,3076076.122232871,0.0015798318637612776,126491450.4554936,0.11430553159370024,0.0,0.0,0.5258137331971781
152,576567201.3989942,0.5836661606833997,27239124.386147738,0.03676338521297549,0.0,0.0,106493337.47940293,0.06517955765222488,0.0,0.0,0.0,0.0,0.6856091035486
153,105519791.29159455,0.07049671626618728,31542426.870143726,0.028471274998296332,9302321.202062124,0.016110820099089703,109220693.96437716,0.046124577430075295,0.0,0.0,0.0,0.0,0.1612033887936486
154,2336611201.990323,1.7202577889541968,566620460.8944509,0.5373202791037179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2575780680579145
155,2472256077.876161,1.7262301234021726,0.0,0.0,340629080.259344,0.6062549217667685,0.0,0.0,0.0,0.0,0.0,0.0,2.332485045168941
156,2784435795.475217,1.7262301234021726,81101665.85731634,0.06283624374004812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7890663671422207
157,0.0,0.0,855808532.4014456,0.780277389220168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.780277389220168
158,116992503.13690226,0.07387729636674367,12372271.08780596,0.010585442714253882,1980979430.5831337,2.971009656844015,0.0,0.0,135020006.4881178,0.10551881115531764,0.0,0.0,3.1609912070803303
159,2179170685.867255,1.7009834320000499,207281897.22591043,0.20743458696986433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9084180189699143
160,0.0,0.0,30535028.96096743,0.02931201004885192,1879885490.1817307,3.1226133514359926,0.0,0.0,82227208.46027136,0.0712980798071329,0.0,0.0,3.2232234412919776
